и,121
—,83
что,58
он,57
не,54
в,50
с,40
на,34
это,31
Пьер,27
его,26
ее,26
Василий,23
как,22
было,20
все,20
Элен,19
она,19
к,18
но,17
так,16
ему,14
Он,14
то,13
Пьера,13
у,13
князь,13
я,12
всех,12
для,12
бы,11
же,11
говорил,10
Князь,10
за,10
этого,9
о,9
со,8
себя,8
»,8
только,8
сидели,8
стола,8
быть,8
будет,8
нее,8
себе,7
раз,7
время,7
сказал,7
сторон,7
из,7
ни,7
Кузьмич,6
чувствовал,6
когда,6
улыбкой,6
думал,6
Но,6
И,6
опять,6
отвечала,6
князя,6
был,6
или,6
будто,6
ним,5
своей,5
него,5
этот,5
Княгиня,5
всегда,5
Василья,5
казалось,5
Пьеру,5
а,5
Она,5
мог,5
должен,5
ничего,5
того,5
были,5
какой-то,5
от,5
день,4
вокруг,4
людей,4
взглядом,4
Сергей,4
дальше,4
тем,4
Анна,4
руку,4
Павловна,4
Я,4
ж,4
тебя,4
гостиную,4
вздохом,4
могу,4
дочь,4
этих,4
самых,4
что-то,4
сам,4
свою,4
конце,4
да,4
говорила,4
была,4
их,4
дочери,4
которые,4
ли,4
ней,4
нет,4
Когда,4
никак,4
встал,3
одно,3
ты,3
теперь,3
анекдот,3
один,3
Сергея,3
нему,3
говорит,3
хотел,3
Лицо,3
очки,3
нужно,3
чувство,3
всего,3
Так,3
этом,3
вдруг,3
Ему,3
тех,3
глаза,3
знал,3
Да,3
«Сергей,3
больше,3
хорошо,3
улыбается,3
подле,3
Не,3
оставался,3
голос,3
своим,3
еще,3
они,3
обмануть,3
ça,3
прежде,3
шагами,3
гостиной,3
Кузьмича,3
меня,3
лицо,3
понимал,3
котором,3
чем,3
дам,3
эти,3
которого,3
mais,3
говорят,3
bon,3
мимо,3
тоже,3
уже,3
решиться,3
слезы,3
чтобы,3
княгиня,3
дама,3
над,3
глазах,3
который,3
месяца,3
нею,3
очень,3
улыбке,2
улыбка,2
письмо,2
Васильем,2
князем,2
вслух,2
занимает,2
бывал,2
дело,2
последнее,2
заговорил,2
одной,2
наконец,2
интересует,2
faut,2
получил,2
гости,2
«И,2
некоторые,2
